|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  82 | left        | long            | left         | long              | True       |        1620.0 | correct   | N         |    1058.0 | 1668533.0 | 1681055.0 | 1668533.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  83 | right       | short           | left         | long              | True       |        1620.0 | incorrect | N         |     862.0 | 1681055.0 | 1709758.0 | 1681055.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  84 | right       | short           | left         | long              | True       |        1620.0 | incorrect | N         |     695.0 | 1709758.0 | 1730989.0 | 1709758.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  85 | left        | long            | right        | short             | True       |        1260.0 | incorrect | N         |    1199.0 | 1730989.0 | 1755857.0 | 1730989.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  86 | right       | short           | right        | short             | True       |        1050.0 | correct   | N         |    1305.0 | 1755857.0 | 1770305.0 | 1755857.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  87 | left        | long            | left         | long              | True       |        1620.0 | correct   | N         |     888.0 | 1770305.0 | 1786169.0 | 1770305.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  88 | left        | long            | left         | long              | True       |        2400.0 | correct   | N         |     975.0 | 1786169.0 | 1798708.0 | 1786169.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  89 | right       | short           | left         | long              | True       |        1620.0 | incorrect | N         |    1169.0 | 1798708.0 | 1825304.0 | 1798708.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  90 | left        | long            | left         | long              | True       |        1740.0 | correct   | N         |    1498.0 | 1825304.0 | 1887928.0 | 1825304.0 |
