t,name,var,value
1080379.0,STIM_ONSET_EVENT,,
1081430.0,CHOICE_STATE,,
1081430.0,STIM_OFFSET_EVENT,,
1082848.0,CHOICE_SHORT_EVENT,,
1082848.0,CHOICE_LEFT_EVENT,,
1082848.0,CHOICE_CORRECT_EVENT,,
1082848.0,CHOICE_EVENT,,
1083651.0,REWARD_EVENT,,
1089483.0,TRIAL_AVAILABLE_EVENT,,
1089484.0,,this_interval,1950.0
1089484.0,,init_port,S
1089484.0,,correct_side,4
1089484.0,,stim_long,True
1093838.0,TRIAL_ENTRY_EVENT,,
1093838.0,STIM_ONSET_EVENT,,
1095789.0,STIM_OFFSET_EVENT,,
1095789.0,CHOICE_STATE,,
1096464.0,CHOICE_EVENT,,
1096464.0,CHOICE_CORRECT_EVENT,,
1096464.0,CHOICE_LONG_EVENT,,
1096464.0,CHOICE_RIGHT_EVENT,,
1097265.0,REWARD_EVENT,,
1102944.0,TRIAL_AVAILABLE_EVENT,,
1102945.0,,init_port,S
1102945.0,,this_interval,2400.0
1102945.0,,stim_long,True
1102945.0,,correct_side,4
1104381.0,TRIAL_ENTRY_EVENT,,
1104382.0,STIM_ONSET_EVENT,,
1106785.0,STIM_OFFSET_EVENT,,
1106785.0,CHOICE_STATE,,
1107662.0,CHOICE_CORRECT_EVENT,,
1107662.0,CHOICE_RIGHT_EVENT,,
1107662.0,CHOICE_LONG_EVENT,,
1107662.0,CHOICE_EVENT,,
1108464.0,REWARD_EVENT,,
1113487.0,TRIAL_AVAILABLE_EVENT,,
1113488.0,,correct_side,4
1113488.0,,stim_long,True
1113488.0,,init_port,S
1113488.0,,this_interval,1740.0
1117042.0,TRIAL_ENTRY_EVENT,,
1117043.0,STIM_ONSET_EVENT,,
1118784.0,CHOICE_STATE,,
1118784.0,STIM_OFFSET_EVENT,,
1119789.0,CHOICE_SHORT_EVENT,,
1119789.0,CHOICE_LEFT_EVENT,,
1119789.0,CHOICE_INCORRECT_EVENT,,
1136148.0,TRIAL_AVAILABLE_EVENT,,
1136149.0,,this_interval,1380.0
1136149.0,,init_port,S
1136149.0,,stim_long,False
1136149.0,,correct_side,6
1150465.0,TRIAL_ENTRY_EVENT,,
1150466.0,STIM_ONSET_EVENT,,
1151847.0,CHOICE_STATE,,
1151847.0,STIM_OFFSET_EVENT,,
1153272.0,CHOICE_EVENT,,
1153272.0,CHOICE_SHORT_EVENT,,
1153272.0,CHOICE_LEFT_EVENT,,
1153272.0,CHOICE_CORRECT_EVENT,,
1154074.0,REWARD_EVENT,,
1159571.0,TRIAL_AVAILABLE_EVENT,,
